Wavelength (nm)	Reflectance
991	0.3072823
992	0.3064417
993	0.3055717
994	0.3046728
995	0.3037451
996	0.302789
997	0.3018046
998	0.3007923
999	0.2997523
1000	0.2986849
